locality,day,date,treat,sleeper,hut,week,vrex_ufl,vrex_bfl,vrex_grl,vrex_bfl_grl,vrex_ufd,vrex_bfd,vrex_grd,vrex_bfd_grd,room_ufl,room_bfl,room_grl,room_bfl_grl,room_ufd,room_bfd,room_grd,room_bfd_grd,net_ufl,net_bfl,net_grl,locality2,day2,date2,treat2,sleeper2,hut2,net_bfl_grl,net_ufd,net_bfd,net_grd,net_bfd_grd,unf_live,unf_dead,bf_live,bf_dead,gr_live,gr_dead,bf_gr_live,bf_gr_dead,tot_unf,tot_bf,tot_gr,tot_bf_gr,tot_live,tot_dead,tot_exop,total
VK5,23,12.10.2014,DawaPlus,VK5-S4,VK5-H2,4,1,5,0,5,0,0,0,0,0,5,0,5,0,0,0,0,2,22,0,VK5,23,12.10.2014,DawaPlus,VK5-S4,VK5-H2,22,0,0,0,0,3,0,32,0,0,0,32,0,3,32,0,32,35,0,6,35
VK5,24,13.10.2014,DawaPlus,VK5-S3,VK5-H2,4,0,1,0,1,0,0,0,0,3,1,0,1,0,0,0,0,1,6,0,VK5,24,13.10.2014,DawaPlus,VK5-S3,VK5-H2,6,0,0,0,0,4,0,8,0,0,0,8,0,4,8,0,8,12,0,1,12
VK5,25,14.10.2014,DawaPlus,VK5-S6,VK5-H6,5,0,1,0,1,0,0,0,0,0,3,0,3,1,1,0,1,0,33,0,VK5,25,14.10.2014,DawaPlus,VK5-S6,VK5-H6,33,0,0,0,0,0,1,37,1,0,0,37,1,1,38,0,38,37,2,1,39
VK5,26,15.10.2014,DawaPlus,VK5-S5,VK5-H6,5,1,0,0,0,1,0,0,0,1,3,0,3,0,0,0,0,0,11,0,VK5,26,15.10.2014,DawaPlus,VK5-S5,VK5-H6,11,0,0,0,0,2,1,14,0,0,0,14,0,3,14,0,14,16,1,2,17
VK5,27,16.10.2014,DawaPlus,VK5-S4,VK5-H6,5,1,3,0,3,0,0,0,0,1,4,0,4,1,1,0,1,0,0,0,VK5,27,16.10.2014,DawaPlus,VK5-S4,VK5-H6,0,0,0,0,0,2,1,7,1,0,0,7,1,3,8,0,8,9,2,4,11
VK5,28,17.10.2014,DawaPlus,VK5-S3,VK5-H6,5,3,11,0,11,6,0,0,0,0,5,0,5,2,0,0,0,0,5,0,VK5,28,17.10.2014,DawaPlus,VK5-S3,VK5-H6,5,0,0,0,0,3,8,21,0,0,0,21,0,11,21,0,21,24,8,20,32
VK5,29,18.10.2014,DawaPlus,VK5-S2,VK5-H6,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,VK5,29,18.10.2014,DawaPlus,VK5-S2,VK5-H6,2,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,3,3,0,0,3
VK5,30,19.10.2014,DawaPlus,VK5-S1,VK5-H6,5,15,2,0,2,12,0,0,0,4,2,0,2,3,0,0,0,0,11,0,VK5,30,19.10.2014,DawaPlus,VK5-S1,VK5-H6,11,0,0,0,0,19,15,15,0,0,0,15,0,34,15,0,15,34,15,29,49
VK5,31,20.10.2014,DawaPlus,VK5-S5,VK5-H5,6,3,0,0,0,4,1,0,1,0,0,0,0,2,0,0,0,0,5,0,VK5,31,20.10.2014,DawaPlus,VK5-S5,VK5-H5,5,0,0,0,0,3,6,5,1,0,0,5,1,9,6,0,6,8,7,8,15
VK5,32,21.10.2014,DawaPlus,VK5-S4,VK5-H5,6,2,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,VK5,32,21.10.2014,DawaPlus,VK5-S4,VK5-H5,1,0,0,0,0,3,1,3,0,0,0,3,0,4,3,0,3,6,1,3,7
VK5,33,22.10.2014,DawaPlus,VK5-S3,VK5-H5,6,7,1,0,1,10,0,0,0,1,3,0,3,3,0,0,0,0,7,0,VK5,33,22.10.2014,DawaPlus,VK5-S3,VK5-H5,7,0,0,0,0,8,13,11,0,0,0,11,0,21,11,0,11,19,13,18,32
VK5,34,23.10.2014,DawaPlus,VK5-S2,VK5-H5,6,6,6,0,6,7,1,0,1,0,6,0,6,1,1,0,1,0,0,0,VK5,34,23.10.2014,DawaPlus,VK5-S2,VK5-H5,0,0,0,0,0,6,8,12,2,0,0,12,2,14,14,0,14,18,10,20,28
VK5,35,24.10.2014,DawaPlus,VK5-S1,VK5-H5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VK5,35,24.10.2014,DawaPlus,VK5-S1,VK5-H5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VK5,36,25.10.2014,DawaPlus,VK5-S6,VK5-H5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VK5,36,25.10.2014,DawaPlus,VK5-S6,VK5-H5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
